Nhóm hàng,Nhóm ngành,Nhóm sản phẩm cấp 1,Nhóm sản phẩm cấp 2,Mã hàng,Tên hàng,SL Bán,Doanh thu,SL Trả,Giá trị trả,Doanh thu thuần,Tổng giá vốn,Lợi nhuận,Tỷ suất
Bảo Tín{DEL},Bảo Tín{DEL},,,LT07{DEL},Lắc bạc trơn,413,35880000,24,-2070000,33810000,696000,33114000, 97.94% 
Bảo Tín{DEL},Bảo Tín{DEL},,,DCT05{DEL},Dây chuyền Hoàng gia,122,34420454,13,-3900000,30520454,6408000,24112454, 79.00% 
Bảo Tín{DEL},Bảo Tín{DEL},,,LBX06{DEL},lắc xuri bạc ta,113,30062000,16,-4390000,25672000,7238000,18434000, 71.81% 
Bảo Tín{DEL},Bảo Tín{DEL},,,LBX01{DEL},lắc tay bí ngô bac ta,96,34535385,8,-2660000,31875385,13650000,18225385, 57.18% 
Bảo Tín{DEL},Bảo Tín{DEL},,,NBX10{DEL},Nhẫn pha lê bạc ta,162,25505531,17,-2720000,22785531,5824000,16961531, 74.44% 
Bảo Tín{DEL},Bảo Tín{DEL},,,MNV01{DEL},mặt dây nam vàng quan công,80,11840000,17,-2550000,9290000,2146000,7144000, 76.90% 
Bảo Tín{DEL},Bảo Tín{DEL},,,NBN05 - đỏ{DEL},Nhẫn bạc tứ long chầu ngọc đỏ,24,14600000,9,-5600000,9000000,1989000,7011000, 77.90% 
Bảo Tín{DEL},Bảo Tín{DEL},,,BTX04{DEL},bông tai bạc sao mai,68,10244000,7,-980000,9264000,3136000,6128000, 66.15% 
Bảo Tín{DEL},Bảo Tín{DEL},,,DBN02{DEL},Dây chuyền da 4 đốt bạc,28,10484545,9,-3454545,7030000,2465290,4564710, 64.93% 
Bảo Tín{DEL},Bảo Tín{DEL},,,LBX07{DEL},lắc trơn bạc ta,27,6676000,1,-280000,6396000,1833000,4563000, 71.34% 
Bảo Tín{DEL},Bảo Tín{DEL},,,DBX10{DEL},Dây chuyền Trái Tim Đôi,41,11400000,8,-2240000,9160000,4620000,4540000, 49.56% 
Bảo Tín{DEL},Bảo Tín{DEL},,,MBX02-xanhto{DEL},Mặt Di Lặc xanh to,25,11273842,5,-2365455,8908387,4515000,4393387, 49.32% 
Bảo Tín{DEL},Bảo Tín{DEL},,,NB06{DEL},Nhẫn bạc hoa nhài vòng xoắn,35,4613913,2,-280000,4333913,0,4333913, 100.00% 
Bảo Tín{DEL},Bảo Tín{DEL},,,DBN03{DEL},Dây Chuyền Mưa Nam 8 chỉ,12,8803000,2,-1443000,7360000,3330000,4030000, 54.76% 
Bảo Tín{DEL},Bảo Tín{DEL},,,LBN02{DEL},Lắc Tay Bạc Nam 2 Đầu Rồng,12,9697500,2,-1657500,8040000,4150000,3890000, 48.38% 
Bảo Tín{DEL},Bảo Tín{DEL},,,DBXT{DEL},Dây bạc Mặt Chữ,25,5177000,1,-250000,4927000,1260000,3667000, 74.43% 
Bảo Tín{DEL},Bảo Tín{DEL},,,MNV02{DEL},Mặt nanh rồng,39,5750000,9,-1300000,4450000,1020000,3430000, 77.08% 
Bảo Tín{DEL},Bảo Tín{DEL},,,MBX01{DEL},Nanh rồng bạc ta,42,9885000,15,-3737500,6147500,2782000,3365500, 54.75% 
Bảo Tín{DEL},Bảo Tín{DEL},,,DBX12{DEL},Dây chuyền cánh thiên thần,20,5167500,2,-530000,4637500,1548000,3089500, 66.62% 
Bảo Tín{DEL},Bảo Tín{DEL},,,BTX03{DEL},Bông tai hoa đá,33,5072677,5,-800000,4272677,1200000,3072677, 71.91% 
Bảo Tín{DEL},Bảo Tín{DEL},,,NBN03-9{DEL},Nhẫn Tứ Linh_size 9,16,6920000,3,-1380000,5540000,2640000,2900000, 52.35% 
Bảo Tín{DEL},Bảo Tín{DEL},,,NN08-9{DEL},Nhẫn hoàng tử size 9,17,3827273,3,-650000,3177273,308000,2869273, 90.31% 
Bảo Tín{DEL},Bảo Tín{DEL},,,DBN06{DEL},Dây Chuyền Nam vẩy Đầu Rồng 1.5,4,5440000,1,-1300000,4140000,1444000,2696000, 65.12% 
Bảo Tín{DEL},Bảo Tín{DEL},,,MBX02-den{DEL},Mặt Di Lặc Đen to,14,6090000,2,-880000,5210000,2530000,2680000, 51.44% 
Bảo Tín{DEL},Bảo Tín{DEL},,,LTHDMT{DEL},Lắc tay hậu duệ mặt trời,11,2949058,0,0,2949058,455000,2494058, 84.57% 
Bảo Tín{DEL},Bảo Tín{DEL},,,DBN04{DEL},Dây Da 6 Đốt Bạc,14,5791613,3,-1250000,4541613,2090000,2451613, 53.98% 
Bảo Tín{DEL},Bảo Tín{DEL},,,LBX04{DEL},lắc tay trái tim đôi bạc ta,16,4385000,4,-1120000,3265000,816000,2449000, 75.01% 
Bảo Tín{DEL},Bảo Tín{DEL},,,NBN01{DEL},Nhẫn bạc Ngọc Đế đỏ,8,3520000,0,0,3520000,1080000,2440000, 69.32% 
Bảo Tín{DEL},Bảo Tín{DEL},,,BTX10{DEL},bông tai nụ đá thạch anh,33,2867500,1,-90000,2777500,405000,2372500, 85.42% 
Bảo Tín{DEL},Bảo Tín{DEL},,,DBX09{DEL},Kiềng Cứng Người lớn,10,4557000,0,0,4557000,2300000,2257000, 49.53% 
Bảo Tín{DEL},Bảo Tín{DEL},,,NN02-lam9{DEL},Nhẫn hoàng đế xanh lam size 9,16,3600000,3,-750000,2850000,700000,2150000, 75.44% 
Bảo Tín{DEL},Bảo Tín{DEL},,,LCX03{DEL},Lắc chân cỏ 4 lá bạc ta,18,3029919,0,0,3029919,945000,2084919, 68.81% 
Bảo Tín{DEL},Bảo Tín{DEL},,,BTHDMT{DEL},Bông tai hậu duệ mặt trời,21,3055092,2,-160000,2895092,845000,2050092, 70.81% 
Bảo Tín{DEL},Bảo Tín{DEL},,,MMV01-Đen{DEL},Mặt phật di lạc Đen Mạ Vàng,7,4700000,2,-1300000,3400000,1425000,1975000, 58.09% 
