Vùng, Số người tiếp cận được , Số lần hiển thị , Số tiền đã chi tiêu (VND) 
An Giang ,618285,4702798,177677297.5
Bà Rịa ,614164,4227499,191548220.4
Bắc Giang ,714491,3595392,140465342
Bắc Kạn ,75752,709263,23951243.27
Bạc Liêu ,274364,1578205,60318693.3
Bắc Ninh ,685763,3813978,157838300.2
Bến Tre ,431955,2439687,90940171.36
Bình Định ,583482,3274335,121150725
Bình Dương ,1433121,7587704,343662400.5
Bình Phước ,388954,2321123,94426334.79
Bình Thuận ,579319,3195710,129929474.4
Cà Mau ,399195,2519424,99480563.6
Cần Thơ ,720660,4611407,188508959.7
Cao Bằng ,163771,1240463,42337971.41
Đà Nẵng ,771782,4688692,223636554.6
Đắk Lắk ,651024,4442274,154081517.1
Đắk Nông ,171952,1218645,44709851.64
Điện Biên ,251788,1452315,57651223.87
Đồng Nai ,1342999,9152627,402465599.6
Đồng Tháp ,425830,2984592,112463741.6
Gia Lai ,378749,2746633,102101583.5
Hà Giang ,102373,1266198,50902828.98
Hà Nam ,229307,1639990,64705034.9
Hà Nội,6872808,59716260,2766540185
Hà Tĩnh ,413530,3079285,113561368.4
Hải Dương ,567068,4595523,185081622.5
Hải Phòng ,1173020,6329550,305035930.2
Hậu Giang ,141232,707894,26074053.15
Hồ Chí Minh ,5476297,33074410,1986031156
Hòa Bình ,284566,1957000,71228597.73
Hưng Yên ,376654,2389526,98643729.56
Khánh Hòa ,622334,3978519,171157865.1
Kiên Giang ,483201,3606563,156077301.2
Kon Tum ,163770,1005259,38073829.05
Lai Châu ,49145,313568,11788285.09
Lâm Đồng ,495434,3361573,138634702.2
Lạng Sơn ,217023,1886224,66084562.8
Lào Cai ,284600,1800418,75510995.35
Long An ,608064,2732229,113412321.7
Nam Định ,434020,3079845,118116056.8
Nghệ An ,1173076,6930184,269467491.8
Ninh Bình ,335748,2068967,81788334.96
Ninh Thuận ,221110,1271042,49668796.29
Phú Thọ ,409472,2918700,115433027.3
Phú Yên ,249766,1683829,61227265.19
Quảng Bình ,358276,2599042,99931284.63
Quảng Nam ,483167,2989449,114991432.7
Quảng Ngãi ,329615,2295412,85458912.44
Quảng Ninh ,501594,4546890,202099683.2
Quảng Trị ,212939,1586304,56303365.77
Sóc Trăng ,395133,2057592,73405701.99
Sơn La ,245695,1914249,71372102.11
Tây Ninh ,534326,3610279,149481160.5
Thái Bình ,360337,2562261,98040554.01
Thái Nguyên ,503622,3703286,128559098.1
Thanh Hóa ,941776,7026914,291113871
Thừa Thiên Huế ,421717,2957553,100068751
Tiền Giang ,417661,3339334,122116457.9
Trà Vinh ,290722,1806972,61502514.66
Tuyên Quang ,257954,1691680,59984737.52
Unknown,159581,313799,144672788
Vĩnh Long ,257954,1644284,60624726.2
Vĩnh Phúc ,239474,2085828,85713817.34
Yên Bái ,262050,1573414,58809009.82
